"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Authentication Module","2","0","Valid Login","0"
"0","","0","","2","0","","0"
"1","","0","PIM Module","0","0","Add Employee with Login Credentials","0"
"1","","0","Authentication Module","7","0","Parameterized Login Validation","0"
"0","","0","Recruitment Module","1","0","Add Candidate Positive","0"
"0","","0","Dashboard Module","2","0","Dashboard Load After Login","0"
"1","","0","","0","0","Add Employee with Login Credentials","0"
"1","","0","Authentication Module","1","0","User Logout","0"
"0","","0","PIM Module","1","0","Add Employee End to End Flow","0"
"0","","0","Authentication Module","2","0","Invalid Login","0"
